blr_id,blr_name,blr_category_name,blr_coverage
121F00000NAT4D,121 Finance Private Limited,Loan Repayment,IND
777N00000DELY3,777 Network Broadband,Broadband Postpaid,IND-DEL
8VID00000MAP2W,VidhyaAnand Children Academy Athner,Education Fees,IND-MAP
AAAI00000KAR47,AAA Internet Services Pvt Ltd,Broadband Postpaid,IND-KAR
AADA00000ASMNP,Aadarsh Gurukul Senior Secondary School,Education Fees,IND-ASM
AADH00000NATPT,Aadhar Housing Finance Limited,Loan Repayment,IND
AANI00015KARRZ,Aanirids Technologies Private Limited,Broadband Postpaid,IND-KAR
AARA00000GUJ6U,Aarav Muchhala International School,Education Fees,IND-GUJ
AART00000NAM80,Aarthi Trust Hostel,Education Fees,IND-TND-Namakkal
AAST00000RAJ67,Aastha Children Academy,Education Fees,IND-RAJ
AAVA00000NATMF,AAVAS FINANCIERS LIMITED,Loan Repayment,IND
ABAC00000WBLWB,Abacus Education,Education Fees,IND-WBL
ABAD00000ERNL2,Abad SpiceBay Appartment Owners Association,Housing Society,IND-KER-Ernakulam
ABCC00000PTNNS,Abc College Of Education,Education Fees,IND-BIH-Patna
ABDU00000MAH4R,Abdullah Patel English Primary School,Education Fees,IND-MAH
ABHI00000MAPUN,Abhinav Public School Guna,Education Fees,IND-MAP
ABHU00000GUJ91,Abhushan Residency C Wing,Housing Society,IND-GUJ
ABLP01000ANP02,New Hope High School(E.M.),Education Fees,IND-ANP-Krishna
ABLP01000ANP03,Geethanjali Institute Of Science and Technology,Education Fees,IND-ANP-Nellore
ABLP01000BLRCV,NSB Academy,Education Fees,IND-KAR-Bengaluru
ABLP01000BPL1N,Millennium College Of Pharmacy,Education Fees,IND-MAP-Bhopal
ABLP01000BPLEJ,Millennium College Of Pharmacy and Science,Education Fees,IND-MAP-Bhopal
ABLP01000BPLH2,Millenium College Of Education,Education Fees,IND-MAP-Bhopal
ABLP01000BPLHE,Millennium College Of Nursing,Education Fees,IND-MAP-Bhopal
ABLP01000BPLIV,Millennium Institute Of Technology And Science,Education Fees,IND-MAP-Bhopal
ABLP01000BPLKM,Pushpa Sr. Secondary School,Education Fees,IND-MAP-Bhopal
ABLP01000BPLX4,Millennium College Of Management,Education Fees,IND-MAP-Bhopal
ABLP01000CTO0A,Sri Venkateswara College Of Engineering,Education Fees,IND-ANP-Chittoor
ABLP01000DEHLO,Uttarakhand Ayurved University,Education Fees,IND-UTT-Dehradun
ABLP01000EMPCR,Vivekananda Mission High School,Education Fees,IND-WBL-East_Midnapore
ABLP01000JMUQL,Cybernetics Secondary School,Education Fees,IND-JAK-Jammu
ABLP01000KHO90,Sai Educational Charitable Trust,Education Fees,IND-ODI-Khorda
ABLP01000KTA8Y,Gurukul Living  Solutions,Education Fees,IND-RAJ-Kota
ABLP01000MEE17,Meerut Institute Of Technology,Education Fees,IND-UTP-Meerut
ABLP01000NDLZO,Lilawati Vidya Mandir School,Education Fees,IND-DEL-North_Delhi
ABLP01000NWDFZ,M A Educational Institute,Education Fees,IND-DEL-North_West_Delhi
ABLP01000NWDO3,Mount Abu Public School,Education Fees,IND-DEL-New Delhi
ABLP01000PKDLO,Najath Arts And Science  College,Education Fees,IND-KER-Palakkad
ABLP01000RGMAY,Premier College,Education Fees,IND-MAH-Raigad
ABLP01000RHTRE,JBM College Of Education,Education Fees,IND-HAR-Rohtak
ABLP01000TEL01,S. V. Polytechnic College,Education Fees,IND-MAP-Bhopal
ABLP01000TND01,The Madras Seva Sadan Unit Sir Mutha School,Education Fees,IND-TND-Chennai
ABLP01000WBL9R,Pandit Iswar Chandra Vidyasagar Mission,Education Fees,IND-WBL
ABLP01000WBLK0,PT Iswarchandra Vidyasagar PTT and Bed College,Education Fees,IND-WBL
ABLP01000WGL0L,Vaagdevi College Of Physiotherapy,Education Fees,IND-TEL-Warangal
ABLP01000WGL32,Vaagdevi Degree And Pg College,Education Fees,IND-TEL-Warangal
